rep , file ,gen, r2, Ne1, Ne2, Ne3, Ne4 
0,  sample0.dat , 49 , 0.00899542297576, 99.5, 101.015228426  , 111.173184358 , 102.051282051  
1,  sample1.dat , 49 , 0.0120378942445, 116.374269006, 95.2153110048  , 107.567567568 , 103.645833333  
2,  sample2.dat , 49 , 0.00645290905057, 111.173184358, 93.4272300469  , 103.10880829 , 87.2807017544  
3,  sample3.dat , 49 , 0.0065245191658, 93.4272300469, 97.5490196078  , 89.6396396396 , 90.4545454545  
4,  sample4.dat , 49 , 0.00753943884343, 109.340659341, 105.291005291  , 95.6730769231 , 102.577319588  
5,  sample5.dat , 49 , 0.00845020864679, 99.5, 96.1352657005  , 93.8679245283 , 99.0049751244  
6,  sample6.dat , 49 , 0.00351813164637, 101.015228426, 104.188481675  , 94.7619047619 , 99.5  
7,  sample7.dat , 49 , 0.00734875165187, 93.4272300469, 94.3127962085  , 110.555555556 , 117.75147929  
8,  sample8.dat , 49 , 0.00893055562967, 103.10880829, 101.530612245  , 104.736842105 , 100.505050505  
9,  sample9.dat , 49 , 0.013269698815, 106.989247312, 98.0295566502  , 92.9906542056 , 106.989247312  
